2	2	theta
-0.020781543081064842	0.03756040004849009	0	0	0
0.037560400048490386	0.020781543737420412	0	0	0
0	0	-0.029516487649160934	0	0
0	0	0	0.05722505801869501	0
0	0	0	0	-0.027708724983226928
2	2	epsilon
0.037560399455354714	0.020781543409245457	0	0	0
0.020781543409244322	-0.037560400641631554	0	0	0
0	0	-0.04903645321318433	0	0
0	0	0	-0.001043801528068154	0
0	0	0	0	0.05008053418884433
2	2	xi
0	0	-0.029516569521932035	0	0
0	0	-0.04903659000442174	0	0
-0.029516569521927143	-0.049036590004427165	0	0	0
0	0	0	0	-0.031995190376396275
0	0	0	-0.031995190376391605	0
2	2	eta
0	0	0	0.05722521674944657	0
0	0	0	-0.0010438044398415648	0
0	0	0	0	-0.03199519037639809
0.05722521674942697	-0.001043804439832024	0	0	0
0	0	-0.03199519037638807	0	0
2	2	zeta
0	0	0	0	-0.027708724545658998
0	0	0	0	0.05008053418884323
0	0	0	-0.03199510112341149	0
0	0	-0.03199510112341149	0	0
-0.027708724545656486	0.05008053418884323	0	0	0
