##################################################################
#   Gamma1 gamma1, Gamma2 gamma2, Gamma gamma, Coef.             #
#   Gamma1: vibronic state                                       #
#   Gamma2: IR active modes (t1u, gu, hu)                        #
#   Coef.: coefficients                                          #
#   |Gamma, gamma> = Sum |Gamma1, gamma1, Gamma2, gamma2> Coef.  #
##################################################################

t1	y	h	ϵ	g	y	(3*Sqrt[3/5])/4 - 1/(4*Sqrt[3])
t1	y	h	θ	g	y	1/4 + 3/(4*Sqrt[5])
t1	z	h	ξ	g	y	Sqrt[3/5]/2 + 1/(2*Sqrt[3])
t1	x	h	η	g	z	Sqrt[3/5]/2 + 1/(2*Sqrt[3])
t1	y	h	ξ	g	z	Sqrt[3/5]/2 - 1/(2*Sqrt[3])
t1	z	h	ϵ	g	z	1/(2*Sqrt[3])
t1	z	h	θ	g	z	-3/(2*Sqrt[5])
t1	x	h	ξ	h	θ	1/Sqrt[2]
t1	y	h	η	h	θ	-(1/Sqrt[2])
t1	x	h	ξ	h	ϵ	1/Sqrt[6]
t1	y	h	η	h	ϵ	1/Sqrt[6]
t1	z	h	ζ	h	ϵ	-Sqrt[2/3]
t1	x	h	ϵ	h	ξ	-(1/Sqrt[6])
t1	x	h	θ	h	ξ	-(1/Sqrt[2])
t1	y	h	ζ	h	ξ	-(1/Sqrt[6])
t1	z	h	η	h	ξ	1/Sqrt[6]
t1	x	h	ζ	h	η	1/Sqrt[6]
t1	y	h	ϵ	h	η	-(1/Sqrt[6])
t1	y	h	θ	h	η	1/Sqrt[2]
t1	z	h	ξ	h	η	-(1/Sqrt[6])
t1	x	h	η	h	ζ	-(1/Sqrt[6])
t1	y	h	ξ	h	ζ	1/Sqrt[6]
t1	z	h	ϵ	h	ζ	Sqrt[2/3]
h	ϵ	t1	x	t1	x	Sqrt[3/10]
h	ζ	t1	y	t1	x	Sqrt[3/10]
h	η	t1	z	t1	x	Sqrt[3/10]
h	θ	t1	x	t1	x	-(1/Sqrt[10])
h	ϵ	t1	y	t1	y	-Sqrt[3/10]
h	ζ	t1	x	t1	y	Sqrt[3/10]
h	θ	t1	y	t1	y	-(1/Sqrt[10])
h	ξ	t1	z	t1	y	Sqrt[3/10]
h	η	t1	x	t1	z	Sqrt[3/10]
h	θ	t1	z	t1	z	Sqrt[2/5]
h	ξ	t1	y	t1	z	Sqrt[3/10]
h	ϵ	t1	x	t2	x	-1/4 + 3/(4*Sqrt[5])
h	ζ	t1	y	t2	x	1/2 - 1/(2*Sqrt[5])
h	η	t1	z	t2	x	-1/2 - 1/(2*Sqrt[5])
h	θ	t1	x	t2	x	-Sqrt[3/5]/4 - Sqrt[3]/4
h	ϵ	t1	y	t2	y	-1/4 - 3/(4*Sqrt[5])
h	ζ	t1	x	t2	y	-1/2 - 1/(2*Sqrt[5])
h	θ	t1	y	t2	y	-Sqrt[3/5]/4 + Sqrt[3]/4
h	ξ	t1	z	t2	y	1/2 - 1/(2*Sqrt[5])
h	ϵ	t1	z	t2	z	1/2
h	η	t1	x	t2	z	1/2 - 1/(2*Sqrt[5])
h	θ	t1	z	t2	z	Sqrt[3/5]/2
